Scopus-10-Analyze-Country,
,
Your query : (TITLE-ABS-KEY('sea-level rise' AND ('glacier' OR 'ice sheet')) AND PUBYEAR > 1992 AND PUBYEAR < 2024),
,
,
Number of results : 10,
,
COUNTRY/TERRITORY,
United States of America,1121
United Kingdom,641
Germany,328
Canada,246
Netherlands,241
France,223
Australia,215
China,178
Denmark,171
Norway,155
Belgium,150
Switzerland,119
Japan,110
Italy,97
Sweden,92
New Zealand,87
Finland,59
Spain,53
Russia,52
Austria,44
India,31
South Korea,30
Chile,28
Singapore,23
Ireland,21
Argentina,16
Poland,15
Brazil,14
Greece,14
Hong Kong,14
Iceland,12
South Africa,12
Taiwan,12
Mexico,10
Turkey,10
Czech Republic,9
Greenland,9
Iran,9
Portugal,8
Israel,7
Morocco,7
Barbados,6
Bolivia,6
Egypt,6
Guam,6
Hungary,6
Mongolia,6
Costa Rica,5
Ecuador,5
Gambia,5
Jamaica,5
Madagascar,5
Nigeria,5
Peru,5
United Arab Emirates,5
Uruguay,5
Bangladesh,4
Dominica,4
Reunion,4
Saudi Arabia,4
Venezuela,4
Cayman Islands,3
Cuba,3
Estonia,3
Ethiopia,3
Grenada,3
Indonesia,3
Kenya,3
Lithuania,3
Luxembourg,3
Seychelles,3
Tanzania,3
Trinidad and Tobago,3
Antigua and Barbuda,2
Armenia,2
Bulgaria,2
Colombia,2
Cote d'Ivoire,2
Croatia,2
Latvia,2
Malaysia,2
Maldives,2
Monaco,2
Pakistan,2
Saint Lucia,2
Slovenia,2
Viet Nam,2
Bahamas,1
Belarus,1
Burundi,1
Congo,1
Georgia,1
Honduras,1
Jordan,1
Kyrgyzstan,1
Lebanon,1
Mauritius,1
Nepal,1
New Caledonia,1
Niger,1
Oman,1
Paraguay,1
Romania,1
Rwanda,1
Senegal,1
Serbia,1
Slovakia,1
Sri Lanka,1
Svalbard and Jan Mayen,1
Thailand,1
Ukraine,1
Undefined,56